price_per_kg,name,price,weight
807.0866141732283,Шок,1025,1.27
1122.4719101123594,Новый хит,999,0.89
1221.111111111111,Выгодный,1099,0.9
1258.3333333333333,Немо,755,0.6
1266.0,Мадагаскар,1899,1.5
1298.3193277310925,Ла-ла-лэнд,1545,1.19
1331.4606741573034,Спирит,1185,0.89
1331.6666666666667,Джанго,799,0.6
1886.6666666666667,Филадельфийский,1415,0.75
